Item type,Authors,Editors,Title,Journal,Full journal,Publication year,Volume,Issue,Pages,Folders filed in,Labels filed in,Institution,Number,Edition,Publisher,Address,Book title,Website name,Patent title,Proceedings title,Conference,Conference location,Conference date,Date published,Date accessed,ISBN,ISBN (alt.),ISSN,ISSN (alt.),LCCN,URLs,DOI,PMID,Arxiv ID,Associated DOI,PMC ID,Abstract,Keywords,Notes,Affiliation,Language,Sub-type,Series,Series number,Series editors,Original title,Archive prefix,Eprint ID,Primary class,Chapter,Pages cited,Page count,Volume count,Advisor,School,Department,Degree,Source,How published,Inventors,Assignee,Issuing authority,Patent number,Date filed,Type of patent,Issuing office full name,Application number,Event name,Event place,Presenter,Date,Date of the event,Dataset name,Dataset author(s),Dataset URL,Dataset DOI,Recipient,Performers,Date released,Sender,Title of the reviewed item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Book,Rives-East D,,Surveillance and Terror in Post-9/11 British and American Television,,,2019,,,,,Surveillance,,,,Springer International Publishing,,,,,,,,,7/29/2019,,9.78303E+12,,,,,https://play.google.com/store/books/details?id=2GeewgEACAAJ,,,,,,"This interdisciplinary study examines how state surveillance has preoccupied British and American television series in the twenty years since 9/11. Surveillance and Terror in Post-9/11 British and American Television illuminates how the U.S. and U.K., bound by an historical, cultural, and television partnership, have broadcast numerous programs centred on three state surveillance apparatuses tasked with protecting us from terrorism and criminal activity: the prison, the police, and the national intelligence agency. Drawing from a range of case studies, such as Sherlock, Orange is the New Black and The Night Manager, this book discusses how television allows viewers, writers, and producers to articulate fears about an increased erosion of privacy and civil liberties following 9/11, while simultaneously expressing a desire for a preventative mechanism that can stop such events occurring in the future. However, these concerns and desires are not new; encompassing surveillance narratives both past and present, this book demonstrates how television today builds on earlier narratives about panoptic power to construct our present understanding of government surveillance.",,,,en,,,,,,,,,,,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Book,Sodré M,,The Science of the Commons: A Note on Communication Methodology,,,2019,,,,,,,,,Springer International Publishing,,,,,,,,,6/28/2019,,9.78303E+12,,,,,https://play.google.com/store/books/details?id=eTBFwQEACAAJ,,,,,,"The Science of the Commons proposes a new mode of comprehending communication. Leaving aside a sociological and linguistic model that defines communication as a process of information transmission, this book introduces an innovative ethical-political understanding of communication as a connection of the common, the cohesive tie of the community. Muniz Sodré critiques the weak ethical and political aspirations of the field of communication and suggests the construction of a ‘post-disciplinary’ science, set against the classic disciplines of sociology, anthropology and economics, which resists a global ideology of financialization. Moving the field of communication beyond media studies to a philosophical reflection on the roots of the community, The Science of the Commons is a ground-breaking book that offers fresh perspectives for the study of communication worldwide.",,,,en,,,,,,,,,,,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Book,"Bartlett A,Clarke K,Cover R",,Flirting in the Era of #MeToo: Negotiating Intimacy,,,2019,,,,,Feminism,,,,Springer International Publishing,,,,,,,,,5/14/2019,,9.78303E+12,,,,,https://play.google.com/store/books/details?id=TDf_wQEACAAJ,,,,,,"This book provides a contemporary review of the social practices and representations of flirting. In the wake of #MeToo, flirting has become entangled with stories of harassment and abuse that have generated both outrage and confusion. Nevertheless, this book argues that negotiating intimacy has always been an ambiguous social practice that can be risky and fraught, and examines how the presiding perception of flirting is constructed in contemporary cultural media. The book interrogates the relation between flirting and scandal, the kinds of scripts available in popular culture, and relations to feminism and other current social theories around gender and sexuality. It asks the questions; how can desire be declared? How can playfulness be understood? And what kind of language is available to speak about these complexities? Drawing from a range of media forms such as public scandal, reality television, and teen film, Flirting in the Era of #MeToo argues that contemporary flirting is both provocative and conservative in its negotiation of an assemblage of shifting values, and considers possibilities for social innovation and change in light of these competing tensions.",,,,en,,,,,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Book,"Flynn S,Mackay A",,"Surveillance, Architecture and Control: Discourses on Spatial Culture",,,2019,,,,,Surveillance,,,,Springer International Publishing,,,,,,,,,2/8/2019,,9.78303E+12,,,,,https://play.google.com/store/books/details?id=ISJEugEACAAJ,,,,,,"This edited collection examines the culture of surveillance as it is expressed in the built environment. Expanding on discussions from previous collections; Spaces of Surveillance: States and Selves (2017) and Surveillance, Race, Culture (2018), this book seeks to explore instances of surveillance within and around specific architectural entities, both historical and fictitious, buildings with specific social purposes and those existing in fiction, film, photography, performance and art. Providing new readings of, and expanding on Foucault’s work on the panopticon, these essays examine the role of surveillance via disparate fields of enquiry, such as the humanities, social sciences, technological studies, design and environmental disciplines. Surveillance, Architecture and Control seeks to engender new debates about the nature of the surveilled environment through detailed analyses of architectural structures and spaces; examining how cultural, geographical and built space buttress and produce power relations. The various essays address the ongoing fascination with contemporary notions of surveillance and control.",,,,en,,,,,,,,,,,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Book,"Goody A,Mackay A",,Reading Westworld,,,2019,,,,,,,,,Springer International Publishing,,,,,,,,,5/22/2019,,9.78303E+12,,,,,https://play.google.com/store/books/details?id=cpVgwQEACAAJ,,,,,,"Reading Westworld is the first volume to explore the cultural, textual and theoretical significance of the hugely successful HBO TV series Westworld. The essays engage in a series of original enquiries into the central themes of the series including conceptions of the human and posthuman, American history, gaming, memory, surveillance, AI, feminism, imperialism, free will and contemporary capitalism. In its varied critical engagements with the genre, narratives and contexts of Westworld, this volume explores the show’s wider and deeper meanings and the questions it poses, as well considering how Westworld reflects on the ethical implications of artificial life and technological innovation for our own futurity. With critical essays that draw on the interdisciplinary strengths and productive intersections of media, cultural and literary studies, Reading Westworld seeks to respond to the show’s fundamental question; “Have you ever questioned the nature of your reality?” It will be of interest to students, academics and general readers seeking to engage with Westworld and the far-reaching questions it poses about our current engagements with technology.",,,,en,,,,,,,,,,,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Book,"Robles-Morales JM,Córdoba-Hernández AM",,"Digital Political Participation, Social Networks and Big Data: Disintermediation in the Era of Web 2.0",,,2019,,,,Digital Politics,Big Data,,,,Springer International Publishing,,,,,,,,,11/10/2019,,9.78303E+12,,,,,https://play.google.com/store/books/details?id=tLP7xgEACAAJ,,,,,,"This book explores the changes in political communication in light of the development of a public opinion mediated by web 2.0 technologies. One of the most important changes in political communication is related to the process of disintermediation, i.e. the process by which digital technologies allow citizens to compete in the public space with those agents who, traditionally, co-opted public opinion. However, while disintermediation has undeniably generated a number of advances, having linked citizens to the public debate, the authors highlight some aspects where disintermediation is moving away from a rational and inclusive public space. They argue that these aspects, related to the immediacy, polarization and incivility of the communication, obscure the possibilities for democratization of digital political communication.",,,,en,,,,,,,,,,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Book,Graefer A,,Media and the Politics of Offence,,,2019,,,,,,,,,Springer International Publishing,,,,,,,,,7/15/2019,,9.78303E+12,,,,,https://play.google.com/store/books/details?id=qvHQwgEACAAJ,,,,,,"This book explores different forms of mediated offence in the context of Trump's America, Brexit Britain, and the rise of far-right movements across the globe. In this political landscape, the so-called ‘right to offend’ is often seen as a legitimate weapon against a ‘political correctness gone mad’ that stifles ‘free speech’. Against the backdrop of these current developments, this book aims to generate a productive dialogue among scholars working in a variety of intellectual disciplines, geographical locations and methodological traditions. The contributors share a concern about the complex and ambiguous nature of offence as well as about the different ways in which this so-called ‘negative affect’ comes to matter in our everyday and socio-political lives. Through a series of instructive case studies of recent media provocations, the authors illustrate how being offended is more than an individual feeling and is, instead, closely tied to political structures and power relations.",,,,en,,,,,,,,,,,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Book,"McSweeney T,Joy S",,Through the Black Mirror: Deconstructing the Side Effects of the Digital Age,,,2019,,,,,,,,,Springer International Publishing,,,,,,,,,8/6/2019,,9.78303E+12,,,,,https://play.google.com/store/books/details?id=jVG0wwEACAAJ,,,,,,"This edited collection charts the first four seasons of Black Mirror and beyond, providing a rich social, historical and political context for the show. Across the diverse tapestry of its episodes, Black Mirror has both dramatized and deconstructed the shifting cultural and technological coordinates of the era like no other. With each of the nineteen chapters focussing on a single episode of the series, this book provides an in-depth analysis into how the show interrogates our contemporary desires and anxieties, while simultaneously encouraging audiences to contemplate the moral issues raised by each episode. What if we could record and replay our most intimate memories? How far should we go to protect our children? Would we choose to live forever? What does it mean to be human? These are just some of the questions posed by Black Mirror, and in turn, by this volume. Written by some of the foremost scholars in the field of contemporary film and television studies, Through the Black Mirror explores how Black Mirror has become a cultural barometer of the new millennial decades and questions what its embedded anxieties might tell us.",,,,en,,,,,,,,,,,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Book,Skweres A,,McLuhan’s Galaxies: Science Fiction Film Aesthetics in Light of Marshall McLuhan’s Thought,,,2019,,,,,,,,,Springer International Publishing,,,,,,,,,3/2/2019,,9.78303E+12,,,,,https://play.google.com/store/books/details?id=Sc2zvAEACAAJ,,,,,,"This groundbreaking book uses observations made by Marshall McLuhan to analyze the aesthetics of science fiction films, treating them as visual metaphors or probes into the new reality dominated by electronic media: - it considers the relations between the senses and sensuality in Blade Runner, the visually-tactile character of the film, and the status of replicants as humanity’s new clothes; - it analyzes the mixture of Eastern and Western aesthetics in Star Wars, analyzing Darth Vader as a combination of the literate and the tribal mindset; - it discusses the failure of visual society presented in the Terminator and Alien franchises, the rekindling of horror vacui, tribalism, and the desire to obliterate the past as a result of the simultaneity of the acoustic space; - finally, the book discusses the Matrix trilogy and Avatar as being deeply related in terms of the growing importance of tactility, easternization, tribalization, as well as connectivity and the implosion of human civilization.",,,,en,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Book,"Doyle W,Roda C",,Communication in the Era of Attention Scarcity,,,2019,,,,,Communication Studies,,,,Springer International Publishing,,,,,,,,,9/12/2019,,9.78303E+12,,,,,https://play.google.com/store/books/details?id=2B6VxAEACAAJ,,,,,,"This book examines a series of phenomena that have accompanied the development of digital technology and focuses on the attentional processes that these phenomena have in common. Across the social order, complaints are growing about a lack of attention as well as an overriding push by corporations and institutions to capture and mobilize attention. With a particular focus on social attention, the book highlights the need for an increased awareness about the agents that shape attention in our society, the effects that these agents (attempt to) produce, and the means by which individuals and groups may increase their control over personal and social attention. With a range of academic perspectives, this book is a crucial read for understanding the changing shape of political, business and personal communication.",,,,en,,,,,,,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Book,Parmar M,,"Reading Cultural Representations of the Double Diaspora: Britain, East Africa, Gujarat",,,2019,,,,,,,,,Springer International Publishing,,,,,,,,,8/16/2019,,9.78303E+12,,,,,https://play.google.com/store/books/details?id=p5dcwwEACAAJ,,,,,,"Reading Cultural Representations of the Double Diaspora: Britain, East Africa, Gujarat is the first detailed study of the cultural life and representations of the prolific twice-displaced Gujarati East African diaspora in contemporary Britain. An exceptional community of people, this diaspora is disproportionally successful and influential in resettlement, both in East Africa and Britain. Often showcased as an example of migrant achievement, their accomplishments are paradoxically underpinned by legacies of trauma and deracination. The diaspora, despite its economic success and considerable upward social mobility in Britain, has until now been overlooked within critical literary and postcolonial studies for a number of reasons. This book attends to that gap. Parmar uniquely investigates what it is to be not just from India, but too Africa—how identity forms within, as the study coins, the “double diaspora”. Parmar focuses on cultural representation post-twice migration, via an interdisciplinary methodology, offering new contributions to debates within diaspora studies. In doing so, the book examines a range of cultures produced amongst, or about, the diaspora, including literary representations, culinary, dance and sartorial practices, as well as visual materials.",,,,en,,,,,,,,,,,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
